mfccs_mean_0,mfccs_mean_1,mfccs_mean_2,mfccs_mean_3,mfccs_mean_4,mfccs_mean_5,mfccs_mean_6,mfccs_mean_7,mfccs_mean_8,mfccs_mean_9,mfccs_mean_10,mfccs_mean_11,mfccs_mean_12,spectral_centroid_mean,spectral_bandwidth_mean,spectral_rolloff_mean,zero_crossing_rate_mean,file_name
-66.57301,58.33059,-8.167375,15.471976,5.5654945,7.6850796,4.063464,-3.5938892,-1.3324877,1.6080923,-5.4819927,-3.7419508,-3.2483392,3256.824592073175,2898.247907370289,6681.488136238399,0.17375184285576178,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00031.wav
-114.935326,113.476944,-29.819769,42.611168,-10.305927,26.97817,-14.481592,21.235636,-17.643866,17.091944,-13.474372,8.586037,-11.412158,2128.9326621445252,2108.8986957351976,4423.058147386166,0.11182509184068058,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00089.wav
-154.65105,97.93247,-10.3476305,39.127403,-11.209807,24.103395,-11.851627,24.192099,-13.451448,20.55775,-8.3087,5.8849826,-9.684563,2292.343238495662,2348.2576081037573,5038.586340813515,0.09976307219160867,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00079.wav
-40.752613,63.94863,4.9002733,16.338194,12.109656,9.335104,4.537441,5.185624,-0.590275,-0.08554641,2.94747,-1.4827536,-1.7634141,3167.957019535548,3047.7515848614516,6935.539964290893,0.15077543443058777,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00030.wav
-121.1838,116.97426,-22.78105,45.153744,-4.218045,30.24878,-12.239501,21.706038,-16.536747,16.226423,-10.650368,7.3293166,-9.34128,1974.5076873650016,2089.6314580753333,4249.843262851653,0.09297320608565351,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00060.wav
-63.611023,94.46296,-13.432528,32.754234,-13.734656,26.77005,-19.403435,24.649286,-11.669471,13.728638,-9.449255,8.831939,-4.98481,2577.207725556345,2387.48142237022,5419.988829575116,0.1381975662219644,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00082.wav
-77.44353,52.192024,-9.003063,12.85945,8.564754,2.8909402,8.930611,4.0074058,-7.3485837,-2.2597075,0.95998895,-1.0451938,-3.765717,3353.4041591983114,2986.9225933221205,7042.789638014791,0.16820212804524362,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00038.wav
-14.574817,65.19933,-19.888517,31.502686,-4.814699,11.865561,9.996404,5.9602337,-3.8007708,9.38057,-4.387615,3.3392262,-4.445434,2848.395241985928,2490.6398551435586,5506.662886546549,0.16364521401295437,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00006.wav
-91.738495,86.314156,-17.3545,43.08698,-18.393627,34.048004,-18.388494,26.830925,-13.561455,20.20347,-14.606949,12.665814,-12.592617,2690.503166212552,2480.383035220588,5775.486525250145,0.12989565206883216,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00075.wav
-57.611416,96.703575,-24.457254,39.99736,-17.280684,27.833838,-13.284011,23.197868,-16.52066,19.428204,-15.479723,11.827778,-10.570341,2492.590012831298,2277.528939593561,5114.010839617169,0.13856991371809746,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00066.wav
-32.176426,60.042603,3.3742273,18.975922,4.3331447,0.68896496,-2.0220764,1.3296518,-4.6426954,3.790977,-6.739723,-4.8872533,-2.336693,3167.5553238891907,2934.880440699375,6730.133523963167,0.15097822409126063,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00023.wav
-65.7685,52.818344,16.573313,12.561863,5.6153107,8.380825,-0.62042105,-0.6156938,-4.0818486,0.6821998,-7.784731,-1.8936242,-7.2548532,3653.6600399416443,3234.1174131634207,7835.304773600638,0.18081285044470224,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00034.wav
-182.10767,103.43044,-18.188179,31.197874,-12.529232,18.83884,-12.868976,19.372465,-17.702715,18.49203,-14.32581,11.538478,-11.629478,2218.89166415782,2307.129643752943,4882.1333812173725,0.09612456496519721,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00078.wav
-91.60158,99.44184,-8.968848,40.157185,-18.011236,22.539673,-21.947449,15.766949,-25.639265,17.657349,-13.664313,15.622417,-15.459026,2418.030526971729,2432.2940291263426,5386.464979698376,0.11256940919856923,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00098.wav
-83.55509,64.49134,5.6444173,2.70193,0.78633994,6.1651754,1.8841151,1.9749736,-1.8108131,1.8658113,2.4624798,-0.22272582,2.9572232,3328.4809117165955,3111.6719473592766,7195.770306155742,0.16901441959106728,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00004.wav
-130.04454,102.52376,-4.4473796,50.050278,-15.527548,32.12771,-18.167599,24.282225,-11.898268,13.758483,-12.887311,7.271593,-9.363437,2207.5083642922987,2353.468828901274,5074.241861223898,0.09355627356438515,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00094.wav
-226.30965,78.28395,7.82392,53.82357,-1.1362898,11.305401,-7.822294,24.358282,-14.937524,18.476454,-19.132423,6.134009,-10.059035,2565.721387688884,2533.545587108637,5520.260613036543,0.11460297032095901,../input/gtzan-dataset-music-genre-classification/Data/genres_original/disco/disco.00054.wav
